supp_cd,mgfname,itpack_cd,itempackname,it_cd,itemname,pack_cd,packages,pkg_unit,no_pkg,short_cd,is_0_mrp,mrp_order,ipmrp_cd,mrp_item,mrp,sal_gr_rt,off_onmrp,sal_remark,it_und_gp
"SRB","NINA SALES CORPORATION","SB008BC","S.SCHEZWAN-1Kg-JAR","SB008","S.SCHEZWAN","BC","1Kg-JAR","",0.000,"526",F,7,"SB008BCA","S.SCHEZWAN-1Kg-JAR @170.00",170.00,102.6800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB008ZH","S.SCHEZWAN-40g","SB008","S.SCHEZWAN","ZH","40g","",0.000,"500",F,2,"SB008ZHA","S.SCHEZWAN-40g @10.00",10.00,6.2500,0.00,"",""
"SRB","NINA SALES CORPORATION","SB009AJ","S.JAIN-SCHEZWAN-250g","SB009","S.JAIN-SCHEZWAN","AJ","250GM","GM",250.00,"",F,7,"SB009AJA","S.JAIN-SCHEZWAN-250g @66.00",66.00,43.7500,0.00,"",""
"SRB","NINA SALES CORPORATION","SB009AJ","S.JAIN-SCHEZWAN-250g","SB009","S.JAIN-SCHEZWAN","AJ","250GM","GM",250.00,"",F,4,"SB009AJB","S.JAIN-SCHEZWAN-250g @72.00",72.00,44.6500,0.00,"",""
"SRB","NINA SALES CORPORATION","SB009AJ","S.JAIN-SCHEZWAN-250g","SB009","S.JAIN-SCHEZWAN","AJ","250GM","GM",250.00,"527",F,2,"SB009AJC","S.JAIN-SCHEZWAN-250g @63.00",63.00,39.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB009BC","S.JAIN-SCHEZWAN-1Kg-JAR","SB009","S.JAIN-SCHEZWAN","BC","1Kg-JAR","",0.000,"",F,1,"SB009BCA","S.JAIN-SCHEZWAN-1Kg-JAR @160.00",160.00,102.6800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB010FE","S.DT.& TM.CHUTNE-100g-POU","SB010","S.DT.& TM.CHUTNE","FE","100g-POU","",0.000,"",F,5,"SB010FEA","S.DT.& TM.CHUTNE-100g-POU @27.00",27.00,19.6400,0.00,"",""
"SRB","NINA SALES CORPORATION","SB010FE","S.DT.& TM.CHUTNE-100g-POU","SB010","S.DT.& TM.CHUTNE","FE","100g-POU","",0.000,"528",F,2,"SB010FEB","S.DT.& TM.CHUTNE-100g-POU @25.00",25.00,17.8600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB011FE","S.PANI PURI PASTE-100g-POU","SB011","S.PANI PURI PASTE","FE","100g-POU","",0.000,"",F,7,"SB011FEA","S.PANI PURI PASTE-100g-POU @22.00",22.00,16.1900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB011FE","S.PANI PURI PASTE-100g-POU","SB011","S.PANI PURI PASTE","FE","100g-POU","",0.000,"",F,6,"SB011FEB","S.PANI PURI PASTE-100g-POU @27.00",27.00,19.6400,0.00,"",""
"SRB","NINA SALES CORPORATION","SB011FE","S.PANI PURI PASTE-100g-POU","SB011","S.PANI PURI PASTE","FE","100g-POU","",0.000,"",F,3,"SB011FEC","S.PANI PURI PASTE-100g-POU @25.00",25.00,17.8600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB012AB","S.GG PASTE-200g","SB012","S.GG PASTE","AB","200GM","GM",200.00,"",F,5,"SB012ABA","S.GG PASTE-200g @39.00",39.00,21.4300,0.00,"",""
"SRB","NINA SALES CORPORATION","SB012ZE","S.GG PASTE-25g","SB012","S.GG PASTE","ZE","25g","",0.000,"530",F,3,"SB012ZEA","S.GG PASTE-25g @5.00",5.00,2.6800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013AB","S.SOY SAUCE-200g","SB013","S.SOY SAUCE","AB","200GM","GM",200.00,"",F,8,"SB013ABA","S.SOY SAUCE-200g @48.00",48.00,25.0000,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013AB","S.SOY SAUCE-200g","SB013","S.SOY SAUCE","AB","200GM","GM",200.00,"",F,3,"SB013ABB","S.SOY SAUCE-200g @39.00",39.00,23.2200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013AB","S.SOY SAUCE-200g","SB013","S.SOY SAUCE","AB","200GM","GM",200.00,"532",F,2,"SB013ABC","S.SOY SAUCE-200g @54.00",54.00,25.8900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013FE","S.SOY SAUCE-100g-POU","SB013","S.SOY SAUCE","FE","100g-POU","",0.000,"531",F,5,"SB013FEA","S.SOY SAUCE-100g-POU @15.00",15.00,9.8200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013FG","S.SOY SAUCE-200g-POU","SB013","S.SOY SAUCE","FG","200g-POU","",0.000,"",F,3,"SB013FGA","S.SOY SAUCE-200g-POU @30.00",30.00,14.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013GP","S.SOY SAUCE-5Kg","SB013","S.SOY SAUCE","GP","5Kg","",0.000,"534",F,3,"SB013GPA","S.SOY SAUCE-5Kg @270.00",270.00,165.1800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB013GQ","S.SOY SAUCE-690g","SB013","S.SOY SAUCE","GQ","690g","",0.000,"533",F,4,"SB013GQA","S.SOY SAUCE-690g @66.00",66.00,28.5700,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014AB","S.RED.CHILII SAUCE-200g","SB014","S.RED.CHILII SAUCE","AB","200GM","GM",200.00,"",F,7,"SB014ABA","S.RED.CHILII SAUCE-200g @48.00",48.00,25.0000,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014AB","S.RED.CHILII SAUCE-200g","SB014","S.RED.CHILII SAUCE","AB","200GM","GM",200.00,"",F,3,"SB014ABB","S.RED.CHILII SAUCE-200g @39.00",39.00,23.2200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014AB","S.RED.CHILII SAUCE-200g","SB014","S.RED.CHILII SAUCE","AB","200GM","GM",200.00,"536",F,2,"SB014ABC","S.RED.CHILII SAUCE-200g @54.00",54.00,25.8900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014FE","S.RED.CHILII SAUCE-100g-POU","SB014","S.RED.CHILII SAUCE","FE","100g-POU","",0.000,"535",F,6,"SB014FEA","S.RED.CHILII SAUCE-100g-POU @15.00",15.00,9.8200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014FG","S.RED.CHILII SAUCE-200g-POU","SB014","S.RED.CHILII SAUCE","FG","200g-POU","",0.000,"",F,4,"SB014FGA","S.RED.CHILII SAUCE-200g-POU @30.00",30.00,14.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014GP","S.RED.CHILII SAUCE-5Kg","SB014","S.RED.CHILII SAUCE","GP","5Kg","",0.000,"538",F,8,"SB014GPA","S.RED.CHILII SAUCE-5Kg @270.00",270.00,165.1900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014GQ","S.RED.CHILII SAUCE-690g","SB014","S.RED.CHILII SAUCE","GQ","690g","",0.000,"537",F,6,"SB014GQA","S.RED.CHILII SAUCE-690g @66.00",66.00,28.5700,0.00,"",""
"SRB","NINA SALES CORPORATION","SB014PJ","S.RED.CHILII SAUCE-10g*100Pc","SB014","S.RED.CHILII SAUCE","PJ","10g*100Pc","",0.000,"",F,4,"SB014PJA","S.RED.CHILII SAUCE-10g*100Pc @100.00",100.00,64.2900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015AB","S.GRN.CH.SUACE-200g","SB015","S.GRN.CH.SUACE","AB","200GM","GM",200.00,"",F,4,"SB015ABA","S.GRN.CH.SUACE-200g @48.00",48.00,25.0000,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015AB","S.GRN.CH.SUACE-200g","SB015","S.GRN.CH.SUACE","AB","200GM","GM",200.00,"",F,2,"SB015ABB","S.GRN.CH.SUACE-200g @39.00",39.00,23.2200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015AB","S.GRN.CH.SUACE-200g","SB015","S.GRN.CH.SUACE","AB","200GM","GM",200.00,"540",F,1,"SB015ABC","S.GRN.CH.SUACE-200g @54.00",54.00,35.7200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015FE","S.GRN.CH.SUACE-100g-POU","SB015","S.GRN.CH.SUACE","FE","100g-POU","",0.000,"",F,5,"SB015FEA","S.GRN.CH.SUACE-100g-POU @15.00",15.00,9.8200,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015GP","S.GRN.CH.SUACE-5Kg","SB015","S.GRN.CH.SUACE","GP","5Kg","",0.000,"",F,2,"SB015GPA","S.GRN.CH.SUACE-5Kg @270.00",270.00,165.1800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB015GQ","S.GRN.CH.SUACE-690g","SB015","S.GRN.CH.SUACE","GQ","690g","",0.000,"541",F,3,"SB015GQA","S.GRN.CH.SUACE-690g @57.00",57.00,27.6800,0.00,"",""
"SRB","NINA SALES CORPORATION","SB016AB","S.JAIN-RED CH.SAUCE-200g","SB016","S.JAIN-RED CH.SAUCE","AB","200GM","GM",200.00,"",F,4,"SB016ABA","S.JAIN-RED CH.SAUCE-200g @48.00",48.00,30.3600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB016AB","S.JAIN-RED CH.SAUCE-200g","SB016","S.JAIN-RED CH.SAUCE","AB","200GM","GM",200.00,"542",F,2,"SB016ABB","S.JAIN-RED CH.SAUCE-200g @42.00",42.00,26.7900,0.00,"",""
"SRB","NINA SALES CORPORATION","SB016GQ","S.JAIN-RED CH.SAUCE-690g","SB016","S.JAIN-RED CH.SAUCE","GQ","690g","",0.000,"543",F,2,"SB016GQA","S.JAIN-RED CH.SAUCE-690g @60.00",60.00,32.1400,0.00,"",""
"SRB","NINA SALES CORPORATION","SB017AB","S.JAIN-GRN.CH.SAUCE-200g","SB017","S.JAIN-GRN.CH.SAUCE","AB","200GM","GM",200.00,"",F,4,"SB017ABA","S.JAIN-GRN.CH.SAUCE-200g @48.00",48.00,30.3600,0.00,"",""
"SRB","NINA SALES CORPORATION","SB017AB","S.JAIN-GRN.CH.SAUCE-200g","SB017","S.JAIN-GRN.CH.SAUCE","AB","200GM","GM",200.00,"544",F,2,"SB017ABB","S.JAIN-GRN.CH.SAUCE-200g @42.00",42.00,26.7900,0.00,"",""
